District,Zone,Geographical Region,Development Region,Year BS,Year AD,Grade Category,Grade,Gender,Ethnicity,Number of students
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Girls,Dalit,51
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Boys,Dalit,37
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Total,Dalit,88
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Girls,Janjati,27
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Boys,Janjati,21
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Total,Janjati,48
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Girls,Others,72
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Boys,Others,122
Dailekh,Bheri,Hill,Mid-Western,2064,2007,ECD/PPC,ECD/PPC,Total,Others,194
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 1,Girls,Others,9447
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 1,Boys,Others,9781
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 1,Total,Others,19228
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 2,Girls,Others,5936
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 2,Boys,Others,5609
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 2,Total,Others,11545
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 3,Girls,Others,5210
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 3,Boys,Others,4910
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Primary Total enrollment,Grade 3,Total,Others,10120
