District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Achham,Seti,Hill,Far-Western,Grade 11,Girls,685
Achham,Seti,Hill,Far-Western,Grade 11,Boys,1169
Achham,Seti,Hill,Far-Western,Grade 12,Girls,561
Achham,Seti,Hill,Far-Western,Grade 12,Boys,1120
Achham,Seti,Hill,Far-Western,Grade 11-12,Girls,1246
Achham,Seti,Hill,Far-Western,Grade 11-12,Boys,2289
Arghakhanchi,Lumbini,Hill,Western,Grade 11,Girls,723
Arghakhanchi,Lumbini,Hill,Western,Grade 11,Boys,512
Arghakhanchi,Lumbini,Hill,Western,Grade 12,Girls,866
Arghakhanchi,Lumbini,Hill,Western,Grade 12,Boys,470
Arghakhanchi,Lumbini,Hill,Western,Grade 11-12,Girls,1589
Arghakhanchi,Lumbini,Hill,Western,Grade 11-12,Boys,982
Baglung,Dhawalagiri,Hill,Western,Grade 11,Girls,2171
Baglung,Dhawalagiri,Hill,Western,Grade 11,Boys,1536
Baglung,Dhawalagiri,Hill,Western,Grade 12,Girls,1959
Baglung,Dhawalagiri,Hill,Western,Grade 12,Boys,1304
Baglung,Dhawalagiri,Hill,Western,Grade 11-12,Girls,4130
Baglung,Dhawalagiri,Hill,Western,Grade 11-12,Boys,2840
Baitadi,Mahakali,Hill,Far-Western,Grade 11,Girls,1047
Baitadi,Mahakali,Hill,Far-Western,Grade 11,Boys,1697
Baitadi,Mahakali,Hill,Far-Western,Grade 12,Girls,962
Baitadi,Mahakali,Hill,Far-Western,Grade 12,Boys,1390
Baitadi,Mahakali,Hill,Far-Western,Grade 11-12,Girls,2009
Baitadi,Mahakali,Hill,Far-Western,Grade 11-12,Boys,3087
Bajhang,Seti,Mountain,Far-Western,Grade 11,Girls,589
Bajhang,Seti,Mountain,Far-Western,Grade 11,Boys,978
Bajhang,Seti,Mountain,Far-Western,Grade 12,Girls,459
Bajhang,Seti,Mountain,Far-Western,Grade 12,Boys,948
Bajhang,Seti,Mountain,Far-Western,Grade 11-12,Girls,1048
Bajhang,Seti,Mountain,Far-Western,Grade 11-12,Boys,1926
Bajura,Seti,Mountain,Far-Western,Grade 11,Girls,393
Bajura,Seti,Mountain,Far-Western,Grade 11,Boys,773
Bajura,Seti,Mountain,Far-Western,Grade 12,Girls,316
Bajura,Seti,Mountain,Far-Western,Grade 12,Boys,810
Bajura,Seti,Mountain,Far-Western,Grade 11-12,Girls,709
Bajura,Seti,Mountain,Far-Western,Grade 11-12,Boys,1583
Banke,Bheri,Terai,Mid-Western,Grade 11,Girls,1670
Banke,Bheri,Terai,Mid-Western,Grade 11,Boys,2153
Banke,Bheri,Terai,Mid-Western,Grade 12,Girls,1368
Banke,Bheri,Terai,Mid-Western,Grade 12,Boys,1532
Banke,Bheri,Terai,Mid-Western,Grade 11-12,Girls,3038
Banke,Bheri,Terai,Mid-Western,Grade 11-12,Boys,3685
Bara,Narayani,Terai,Central,Grade 11,Girls,989
Bara,Narayani,Terai,Central,Grade 11,Boys,1309
Bara,Narayani,Terai,Central,Grade 12,Girls,879
Bara,Narayani,Terai,Central,Grade 12,Boys,909
Bara,Narayani,Terai,Central,Grade 11-12,Girls,1868
Bara,Narayani,Terai,Central,Grade 11-12,Boys,2218
Bardiya,Bheri,Terai,Mid-Western,Grade 11,Girls,1425
Bardiya,Bheri,Terai,Mid-Western,Grade 11,Boys,1472
Bardiya,Bheri,Terai,Mid-Western,Grade 12,Girls,2074
Bardiya,Bheri,Terai,Mid-Western,Grade 12,Boys,1837
Bardiya,Bheri,Terai,Mid-Western,Grade 11-12,Girls,3499
Bardiya,Bheri,Terai,Mid-Western,Grade 11-12,Boys,3309
Bhaktapur,Bagmati,Hill,Central,Grade 11,Girls,1189
Bhaktapur,Bagmati,Hill,Central,Grade 11,Boys,1107
Bhaktapur,Bagmati,Hill,Central,Grade 12,Girls,1131
Bhaktapur,Bagmati,Hill,Central,Grade 12,Boys,962
Bhaktapur,Bagmati,Hill,Central,Grade 11-12,Girls,2320
