District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Achham,Seti,Hill,Far-Western,Grade 6,Girls,4165
Achham,Seti,Hill,Far-Western,Grade 6,Boys,4104
Achham,Seti,Hill,Far-Western,Grade 7,Girls,3687
Achham,Seti,Hill,Far-Western,Grade 7,Boys,3841
Achham,Seti,Hill,Far-Western,Grade 8,Girls,2819
Achham,Seti,Hill,Far-Western,Grade 8,Boys,3273
Achham,Seti,Hill,Far-Western,Grade 6-8,Girls,10671
Achham,Seti,Hill,Far-Western,Grade 6-8,Boys,11218
Arghakhanchi,Lumbini,Hill,Western,Grade 6,Girls,3044
Arghakhanchi,Lumbini,Hill,Western,Grade 6,Boys,2729
Arghakhanchi,Lumbini,Hill,Western,Grade 7,Girls,2943
Arghakhanchi,Lumbini,Hill,Western,Grade 7,Boys,2570
Arghakhanchi,Lumbini,Hill,Western,Grade 8,Girls,2951
Arghakhanchi,Lumbini,Hill,Western,Grade 8,Boys,2343
Arghakhanchi,Lumbini,Hill,Western,Grade 6-8,Girls,8938
Arghakhanchi,Lumbini,Hill,Western,Grade 6-8,Boys,7642
Baglung,Dhawalagiri,Hill,Western,Grade 6,Girls,4149
Baglung,Dhawalagiri,Hill,Western,Grade 6,Boys,4073
Baglung,Dhawalagiri,Hill,Western,Grade 7,Girls,3861
Baglung,Dhawalagiri,Hill,Western,Grade 7,Boys,3670
Baglung,Dhawalagiri,Hill,Western,Grade 8,Girls,3580
Baglung,Dhawalagiri,Hill,Western,Grade 8,Boys,3325
Baglung,Dhawalagiri,Hill,Western,Grade 6-8,Girls,11590
Baglung,Dhawalagiri,Hill,Western,Grade 6-8,Boys,11068
Baitadi,Mahakali,Hill,Far-Western,Grade 6,Girls,4133
Baitadi,Mahakali,Hill,Far-Western,Grade 6,Boys,3983
Baitadi,Mahakali,Hill,Far-Western,Grade 7,Girls,3646
Baitadi,Mahakali,Hill,Far-Western,Grade 7,Boys,3636
Baitadi,Mahakali,Hill,Far-Western,Grade 8,Girls,3163
Baitadi,Mahakali,Hill,Far-Western,Grade 8,Boys,3308
Baitadi,Mahakali,Hill,Far-Western,Grade 6-8,Girls,10942
Baitadi,Mahakali,Hill,Far-Western,Grade 6-8,Boys,10927
Bajhang,Seti,Mountain,Far-Western,Grade 6,Girls,2960
Bajhang,Seti,Mountain,Far-Western,Grade 6,Boys,3117
Bajhang,Seti,Mountain,Far-Western,Grade 7,Girls,2400
Bajhang,Seti,Mountain,Far-Western,Grade 7,Boys,2918
Bajhang,Seti,Mountain,Far-Western,Grade 8,Girls,1868
Bajhang,Seti,Mountain,Far-Western,Grade 8,Boys,2670
Bajhang,Seti,Mountain,Far-Western,Grade 6-8,Girls,7228
Bajhang,Seti,Mountain,Far-Western,Grade 6-8,Boys,8705
Bajura,Seti,Mountain,Far-Western,Grade 6,Girls,2238
Bajura,Seti,Mountain,Far-Western,Grade 6,Boys,2190
Bajura,Seti,Mountain,Far-Western,Grade 7,Girls,1944
Bajura,Seti,Mountain,Far-Western,Grade 7,Boys,2096
Bajura,Seti,Mountain,Far-Western,Grade 8,Girls,1651
Bajura,Seti,Mountain,Far-Western,Grade 8,Boys,2001
Bajura,Seti,Mountain,Far-Western,Grade 6-8,Girls,5833
Bajura,Seti,Mountain,Far-Western,Grade 6-8,Boys,6287
Banke,Bheri,Terai,Mid-Western,Grade 6,Girls,5393
Banke,Bheri,Terai,Mid-Western,Grade 6,Boys,5582
Banke,Bheri,Terai,Mid-Western,Grade 7,Girls,5195
Banke,Bheri,Terai,Mid-Western,Grade 7,Boys,5228
Banke,Bheri,Terai,Mid-Western,Grade 8,Girls,4797
Banke,Bheri,Terai,Mid-Western,Grade 8,Boys,4872
