District,Year,Number of Schools
Bajhang,2008,398
Bajhang,2009,401
Bajhang,2010,436
Bajhang,2011,457
Bajhang,2007,373
Dadeldhura,2008,247
Dadeldhura,2009,250
Dadeldhura,2010,260
Dadeldhura,2011,263
Dadeldhura,2007,234
Arghakhanchi,2008,417
Arghakhanchi,2009,422
Arghakhanchi,2010,431
Arghakhanchi,2011,451
Arghakhanchi,2007,389
Darchula,2008,330
Darchula,2009,340
Darchula,2010,356
Darchula,2011,361
Darchula,2007,311
Chitwan,2008,536
Chitwan,2009,530
Chitwan,2010,530
Chitwan,2011,543
Chitwan,2007,507
Panchthar,2008,398
Panchthar,2009,387
Panchthar,2010,436
Panchthar,2011,436
Panchthar,2007,392
Sindhupalchok,2008,516
Sindhupalchok,2009,542
Sindhupalchok,2010,556
Sindhupalchok,2011,556
Sindhupalchok,2007,490
Terhathum,2008,248
Terhathum,2009,252
Terhathum,2010,252
Terhathum,2011,253
Terhathum,2007,248
Mugu,2008,126
Mugu,2009,130
Mugu,2010,130
Mugu,2011,152
Mugu,2007,124
Khotang,2008,472
Khotang,2009,484
Khotang,2010,484
Khotang,2011,484
Khotang,2007,491
Kathmandu,2008,1298
Kathmandu,2009,1370
Kathmandu,2010,1370
Kathmandu,2011,1370
Kathmandu,2007,1298
Banke,2008,358
Banke,2009,391
Banke,2010,409
Banke,2011,436
Banke,2007,338
Okhaldhunga,2008,334
Okhaldhunga,2009,353
Okhaldhunga,2010,365
Okhaldhunga,2011,368
Okhaldhunga,2007,328
Gorkha,2008,522
Gorkha,2009,529
Gorkha,2010,531
Gorkha,2011,553
Gorkha,2007,489
Baitadi,2008,474
Baitadi,2009,510
Baitadi,2010,541
Baitadi,2011,554
Baitadi,2007,436
Jajarkot,2008,371
Jajarkot,2009,392
Jajarkot,2010,392
Jajarkot,2011,430
Jajarkot,2007,266
Taplejung,2008,312
Taplejung,2009,312
Taplejung,2010,339
Taplejung,2011,339
Taplejung,2007,304
Bara,2008,384
Bara,2009,380
Bara,2010,418
Bara,2011,418
Bara,2007,384
Dolpa,2008,109
Dolpa,2009,122
Dolpa,2010,122
Dolpa,2011,121
Dolpa,2007,109
Kavrepalanchok,2008,683
Kavrepalanchok,2009,695
Kavrepalanchok,2010,695
Kavrepalanchok,2011,696
Kavrepalanchok,2007,649
Ilam,2008,460
Ilam,2009,457
Ilam,2010,485
Ilam,2011,494
Ilam,2007,434
Saptari,2008,351
Saptari,2009,340
Saptari,2010,340
Saptari,2011,484
Saptari,2007,351
Rolpa,2008,347
Rolpa,2009,393
Rolpa,2010,416
Rolpa,2011,423
Rolpa,2007,304
Pyuthan,2008,334
Pyuthan,2009,356
Pyuthan,2010,356
Pyuthan,2011,373
Pyuthan,2007,324
Solukhumbu,2008,293
Solukhumbu,2009,290
Solukhumbu,2010,290
Solukhumbu,2011,290
Solukhumbu,2007,290
Sunsari,2008,509
Sunsari,2009,521
Sunsari,2010,718
Sunsari,2011,745
Sunsari,2007,466
Myagdi,2008,252
Myagdi,2009,255
Myagdi,2010,268
Myagdi,2011,273
Myagdi,2007,241
Rasuwa,2008,110
Rasuwa,2009,111
Rasuwa,2010,112
Rasuwa,2011,113
Rasuwa,2007,108
Kalikot,2008,252
Kalikot,2009,268
Kalikot,2010,286
Kalikot,2011,288
Kalikot,2007,213
Parbat,2008,360
Parbat,2009,359
Parbat,2010,364
Parbat,2011,369
Parbat,2007,341
Lamjung,2008,410
Lamjung,2009,415
Lamjung,2010,420
Lamjung,2011,424
Lamjung,2007,403
Doti,2008,374
Doti,2009,381
Doti,2010,381
Doti,2011,381
Doti,2007,344
Nawalparasi,2008,650
Nawalparasi,2009,677
Nawalparasi,2010,678
Nawalparasi,2011,706
Nawalparasi,2007,593
Achham,2008,427
Achham,2009,440
Achham,2010,501
Achham,2011,502
Achham,2007,400
Dolakha,2008,408
Dolakha,2009,424
Dolakha,2010,424
Dolakha,2011,431
Dolakha,2007,394
Rukum,2008,350
Rukum,2009,362
Rukum,2010,386
Rukum,2011,391
Rukum,2007,305
Dhading,2008,593
Dhading,2009,602
Dhading,2010,602
Dhading,2011,634
Dhading,2007,593
Gulmi,2008,563
Gulmi,2009,588
Gulmi,2010,596
Gulmi,2011,615
Gulmi,2007,540
Humla,2008,121
Humla,2009,123
Humla,2010,123
Humla,2011,135
Humla,2007,116
Bhaktapur,2008,346
Bhaktapur,2009,355
Bhaktapur,2010,355
