District,Zone,Geographical Region,Development Region,Sub Group,Girls/Boys,Number
Achham,Seti,Hill,Far-Western,Grade 1-5,Girls,34918
Achham,Seti,Hill,Far-Western,Grade 1-5,Boys,32200
Arghakhanchi,Lumbini,Hill,Western,Grade 1-5,Girls,18594
Arghakhanchi,Lumbini,Hill,Western,Grade 1-5,Boys,18893
Baglung,Dhawalagiri,Hill,Western,Grade 1-5,Girls,26502
Baglung,Dhawalagiri,Hill,Western,Grade 1-5,Boys,26086
Baitadi,Mahakali,Hill,Far-Western,Grade 1-5,Girls,31123
Baitadi,Mahakali,Hill,Far-Western,Grade 1-5,Boys,29144
Bajhang,Seti,Mountain,Far-Western,Grade 1-5,Girls,27795
Bajhang,Seti,Mountain,Far-Western,Grade 1-5,Boys,25576
Bajura,Seti,Mountain,Far-Western,Grade 1-5,Girls,18212
Bajura,Seti,Mountain,Far-Western,Grade 1-5,Boys,16255
Banke,Bheri,Terai,Mid-Western,Grade 1-5,Girls,44862
Banke,Bheri,Terai,Mid-Western,Grade 1-5,Boys,46625
Bara,Narayani,Terai,Central,Grade 1-5,Girls,80652
Bara,Narayani,Terai,Central,Grade 1-5,Boys,83413
Bardiya,Bheri,Terai,Mid-Western,Grade 1-5,Girls,34031
Bardiya,Bheri,Terai,Mid-Western,Grade 1-5,Boys,33737
Bhaktapur,Bagmati,Hill,Central,Grade 1-5,Girls,15271
Bhaktapur,Bagmati,Hill,Central,Grade 1-5,Boys,16533
Bhojpur,Kosi,Hill,Eastern,Grade 1-5,Girls,16019
Bhojpur,Kosi,Hill,Eastern,Grade 1-5,Boys,16110
Chitawan,Narayani,Terai,Central,Grade 1-5,Girls,37407
Chitawan,Narayani,Terai,Central,Grade 1-5,Boys,40053
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1-5,Girls,14019
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1-5,Boys,13403
Dailekh,Bheri,Hill,Mid-Western,Grade 1-5,Girls,32885
Dailekh,Bheri,Hill,Mid-Western,Grade 1-5,Boys,31139
Dang,Rapti,Terai,Mid-Western,Grade 1-5,Girls,41014
Dang,Rapti,Terai,Mid-Western,Grade 1-5,Boys,39237
Darchaula,Mahakali,Mountain,Far-Western,Grade 1-5,Girls,14493
Darchaula,Mahakali,Mountain,Far-Western,Grade 1-5,Boys,13316
Dhading,Bagmati,Hill,Central,Grade 1-5,Girls,30285
Dhading,Bagmati,Hill,Central,Grade 1-5,Boys,29829
Dhankuta,Kosi,Hill,Eastern,Grade 1-5,Girls,12166
Dhankuta,Kosi,Hill,Eastern,Grade 1-5,Boys,12128
Dhanusa,Janakpur,Terai,Central,Grade 1-5,Girls,64119
Dhanusa,Janakpur,Terai,Central,Grade 1-5,Boys,59737
Dolakha,Janakpur,Mountain,Central,Grade 1-5,Girls,17730
Dolakha,Janakpur,Mountain,Central,Grade 1-5,Boys,16590
Dolpa,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,3594
Dolpa,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,3298
Doti,Seti,Hill,Far-Western,Grade 1-5,Girls,24058
Doti,Seti,Hill,Far-Western,Grade 1-5,Boys,21962
Gorkha,Gandaki,Hill,Western,Grade 1-5,Girls,24223
Gorkha,Gandaki,Hill,Western,Grade 1-5,Boys,23341
Gulmi,Lumbini,Hill,Western,Grade 1-5,Girls,24999
Gulmi,Lumbini,Hill,Western,Grade 1-5,Boys,24865
Humla,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,7445
Humla,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,6931
Ilam,Mechi,Hill,Eastern,Grade 1-5,Girls,19156
Ilam,Mechi,Hill,Eastern,Grade 1-5,Boys,18908
Jajarkot,Bheri,Hill,Mid-Western,Grade 1-5,Girls,31222
Jajarkot,Bheri,Hill,Mid-Western,Grade 1-5,Boys,29081
Jhapa,Mechi,Terai,Eastern,Grade 1-5,Girls,50397
Jhapa,Mechi,Terai,Eastern,Grade 1-5,Boys,50534
Jumla,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,13784
Jumla,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,12968
Kailali,Seti,Terai,Far-Western,Grade 1-5,Girls,69500
Kailali,Seti,Terai,Far-Western,Grade 1-5,Boys,61930
Kalikot,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,18303
Kalikot,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,17023
Kanchanpur,Mahakali,Terai,Far-Western,Grade 1-5,Girls,34907
Kanchanpur,Mahakali,Terai,Far-Western,Grade 1-5,Boys,33069
Kapilbastu,Lumbini,Terai,Western,Grade 1-5,Girls,52042
Kapilbastu,Lumbini,Terai,Western,Grade 1-5,Boys,54605
Kaski,Gandaki,Hill,Western,Grade 1-5,Girls,30405
Kaski,Gandaki,Hill,Western,Grade 1-5,Boys,32403
Kathmandu,Bagmati,Hill,Central,Grade 1-5,Girls,82314
Kathmandu,Bagmati,Hill,Central,Grade 1-5,Boys,89918
Kavre,Bagmati,Hill,Central,Grade 1-5,Girls,31600
Kavre,Bagmati,Hill,Central,Grade 1-5,Boys,30818
Khotang,Sagarmatha,Hill,Eastern,Grade 1-5,Girls,24813
Khotang,Sagarmatha,Hill,Eastern,Grade 1-5,Boys,22982
Lalitpur,Bagmati,Hill,Central,Grade 1-5,Girls,27764
Lalitpur,Bagmati,Hill,Central,Grade 1-5,Boys,29250
Lamjung,Gandaki,Hill,Western,Grade 1-5,Girls,13949
Lamjung,Gandaki,Hill,Western,Grade 1-5,Boys,13793
Mahottari,Janakpur,Terai,Central,Grade 1-5,Girls,67729
Mahottari,Janakpur,Terai,Central,Grade 1-5,Boys,66358
Makwanpur,Narayani,Hill,Central,Grade 1-5,Girls,36328
Makwanpur,Narayani,Hill,Central,Grade 1-5,Boys,37694
Manang,Gandaki,Mountain,Western,Grade 1-5,Girls,234
Manang,Gandaki,Mountain,Western,Grade 1-5,Boys,184
Morang,Kosi,Terai,Eastern,Grade 1-5,Girls,58125
Morang,Kosi,Terai,Eastern,Grade 1-5,Boys,54519
Mugu,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,5686
Mugu,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,5138
Mustang,Dhawalagiri,Mountain,Western,Grade 1-5,Girls,806
Mustang,Dhawalagiri,Mountain,Western,Grade 1-5,Boys,784
Myagdi,Dhawalagiri,Hill,Western,Grade 1-5,Girls,9033
Myagdi,Dhawalagiri,Hill,Western,Grade 1-5,Boys,9035
Nawalparasi,Lumbini,Terai,Western,Grade 1-5,Girls,51413
Nawalparasi,Lumbini,Terai,Western,Grade 1-5,Boys,52014
Nuwakot,Bagmati,Hill,Central,Grade 1-5,Girls,23231
Nuwakot,Bagmati,Hill,Central,Grade 1-5,Boys,22362
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 1-5,Girls,14272
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 1-5,Boys,13585
Palpa,Lumbini,Hill,Western,Grade 1-5,Girls,21734
Palpa,Lumbini,Hill,Western,Grade 1-5,Boys,22180
Panchthar,Mechi,Hill,Eastern,Grade 1-5,Girls,19737
Panchthar,Mechi,Hill,Eastern,Grade 1-5,Boys,19000
Parbat,Dhawalagiri,Hill,Western,Grade 1-5,Girls,11280
Parbat,Dhawalagiri,Hill,Western,Grade 1-5,Boys,11202
Parsa,Narayani,Terai,Central,Grade 1-5,Girls,56275
Parsa,Narayani,Terai,Central,Grade 1-5,Boys,53715
Pyuthan,Rapti,Hill,Mid-Western,Grade 1-5,Girls,24140
Pyuthan,Rapti,Hill,Mid-Western,Grade 1-5,Boys,23810
