District,Year,Total,Male,Female
Bajhang,2008,75529,42903,32626
Bajhang,2009,77962,43116,34846
Bajhang,2010,73460,39332,34128
Bajhang,2011,75943,39719,36224
Bajhang,2007,57837,34225,23612
Dadeldhura,2008,43625,21747,21878
Dadeldhura,2009,45811,22925,22886
Dadeldhura,2010,46507,22885,23622
Dadeldhura,2011,46854,22994,23860
Dadeldhura,2007,42417,21678,20739
Arghakhanchi,2008,72009,35182,36827
Arghakhanchi,2009,69822,33849,35973
Arghakhanchi,2010,67777,32834,34943
Arghakhanchi,2011,65260,31667,33593
Arghakhanchi,2007,71610,35247,36363
Darchula,2008,39628,20615,19013
Darchula,2009,43123,21931,21192
Darchula,2010,45003,22484,22519
Darchula,2011,45205,22354,22851
Darchula,2007,34432,18213,16220
Chitwan,2008,147366,73990,73376
Chitwan,2009,144042,71899,72143
Chitwan,2010,146127,73211,72916
Chitwan,2011,143740,72216,71524
Chitwan,2007,147263,74047,73216
Panchthar,2008,75679,36767,38912
Panchthar,2009,73260,35256,38004
Panchthar,2010,77169,36856,40313
Panchthar,2011,75196,35687,39509
Panchthar,2007,75847,37392,38456
Sindhupalchok,2008,89228,44203,45025
Sindhupalchok,2009,65952,32297,33655
Sindhupalchok,2010,96101,47027,49074
Sindhupalchok,2011,89454,43255,46199
Sindhupalchok,2007,70431,35107,35325
Udayapur,2008,105700,51729,53971
Udayapur,2009,102355,49850,52505
Udayapur,2010,105473,50915,54558
Udayapur,2011,106181,51012,55169
Udayapur,2007,83591,40382,43209
Mugu,2008,13898,7787,6111
Mugu,2009,15654,8407,7247
Mugu,2010,16831,8925,7906
Mugu,2011,16996,8825,8171
Mugu,2007,12186,7093,5094
Khotang,2008,84850,41885,42965
Khotang,2009,88379,43213,45166
Khotang,2010,71521,34466,37055
Khotang,2011,78455,37634,40821
Khotang,2007,62993,31854,31139
Kathmandu,2008,282335,145518,136817
Kathmandu,2009,337238,174711,162527
Kathmandu,2010,314720,161970,152750
Kathmandu,2011,332232,171047,161185
Kathmandu,2007,295202,153592,141610
Banke,2008,121392,62859,58533
Banke,2009,131014,67159,63855
Banke,2010,137703,70131,67572
Banke,2011,135594,68518,67076
Banke,2007,114392,60136,54256
Gorkha,2008,88191,43459,44732
Gorkha,2009,89173,43515,45658
Gorkha,2010,86424,41851,44573
Gorkha,2011,83823,40552,43271
Gorkha,2007,86926,42854,44073
Baitadi,2008,81921,42866,39055
Baitadi,2009,89256,45730,43526
Baitadi,2010,97314,49332,47982
Baitadi,2011,93592,46757,46835
Baitadi,2007,71843,38308,33536
Jajarkot,2008,61027,31662,29365
Jajarkot,2009,75272,38842,36430
Jajarkot,2010,86443,42719,43724
Jajarkot,2011,87298,43286,44012
Jajarkot,2007,42089,23276,18813
Taplejung,2008,65263,31881,33382
Taplejung,2009,66719,32544,34175
Taplejung,2010,75336,36421,38915
Taplejung,2011,71113,34280,36833
Taplejung,2007,56461,28026,28435
Dolpa,2008,8153,4259,3894
Dolpa,2009,9242,4774,4468
Dolpa,2010,9783,4945,4838
Dolpa,2011,10345,5184,5161
Dolpa,2007,8285,4470,3816
Kavrepalanchok,2008,126203,62850,63353
Kavrepalanchok,2009,128170,63286,64884
Kavrepalanchok,2010,124085,60565,63520
Kavrepalanchok,2011,118362,57361,61001
Kavrepalanchok,2007,121725,60716,61009
Ilam,2008,82523,40251,42272
Ilam,2009,80167,38701,41466
Ilam,2010,76408,36843,39565
Ilam,2011,71613,34299,37314
Ilam,2007,82869,40713,42156
Saptari,2008,91127,48523,42604
Saptari,2009,122898,62538,60360
Saptari,2010,84323,42152,42171
Saptari,2011,153652,76328,77324
Saptari,2007,138084,76100,61983
