District,Zone,Geographical Region,Development Region,Sub Group,Number
Achham,Seti,Hill,Far-Western,Grade 9 Girls,2436
Achham,Seti,Hill,Far-Western,Grade 9 Boys,3875
Achham,Seti,Hill,Far-Western,Grade 10 Girls,1990
Achham,Seti,Hill,Far-Western,Grade 10 Boys,2646
Achham,Seti,Hill,Far-Western,Grade 9-10 Girls,4426
Achham,Seti,Hill,Far-Western,Grade 9-10 Boys,6521
Arghakhanchi,Lumbini,Hill,Western,Grade 9 Girls,2106
Arghakhanchi,Lumbini,Hill,Western,Grade 9 Boys,1854
Arghakhanchi,Lumbini,Hill,Western,Grade 10 Girls,1792
Arghakhanchi,Lumbini,Hill,Western,Grade 10 Boys,1614
Arghakhanchi,Lumbini,Hill,Western,Grade 9-10 Girls,3898
Arghakhanchi,Lumbini,Hill,Western,Grade 9-10 Boys,3468
Baglung,Dhawalagiri,Hill,Western,Grade 9 Girls,3252
Baglung,Dhawalagiri,Hill,Western,Grade 9 Boys,2904
Baglung,Dhawalagiri,Hill,Western,Grade 10 Girls,2754
Baglung,Dhawalagiri,Hill,Western,Grade 10 Boys,2479
Baglung,Dhawalagiri,Hill,Western,Grade 9-10 Girls,6006
Baglung,Dhawalagiri,Hill,Western,Grade 9-10 Boys,5383
Baitadi,Mahakali,Hill,Far-Western,Grade 9 Girls,2553
Baitadi,Mahakali,Hill,Far-Western,Grade 9 Boys,2838
Baitadi,Mahakali,Hill,Far-Western,Grade 10 Girls,2248
Baitadi,Mahakali,Hill,Far-Western,Grade 10 Boys,2631
Baitadi,Mahakali,Hill,Far-Western,Grade 9-10 Girls,4801
Baitadi,Mahakali,Hill,Far-Western,Grade 9-10 Boys,5469
Bajhang,Seti,Mountain,Far-Western,Grade 9 Girls,1327
Bajhang,Seti,Mountain,Far-Western,Grade 9 Boys,2093
Bajhang,Seti,Mountain,Far-Western,Grade 10 Girls,1215
Bajhang,Seti,Mountain,Far-Western,Grade 10 Boys,2124
Bajhang,Seti,Mountain,Far-Western,Grade 9-10 Girls,2542
Bajhang,Seti,Mountain,Far-Western,Grade 9-10 Boys,4217
Bajura,Seti,Mountain,Far-Western,Grade 9 Girls,1067
Bajura,Seti,Mountain,Far-Western,Grade 9 Boys,1652
Bajura,Seti,Mountain,Far-Western,Grade 10 Girls,848
Bajura,Seti,Mountain,Far-Western,Grade 10 Boys,1378
Bajura,Seti,Mountain,Far-Western,Grade 9-10 Girls,1915
Bajura,Seti,Mountain,Far-Western,Grade 9-10 Boys,3030
Banke,Bheri,Terai,Mid-Western,Grade 9 Girls,3584
Banke,Bheri,Terai,Mid-Western,Grade 9 Boys,3902
Banke,Bheri,Terai,Mid-Western,Grade 10 Girls,3336
Banke,Bheri,Terai,Mid-Western,Grade 10 Boys,3333
Banke,Bheri,Terai,Mid-Western,Grade 9-10 Girls,6920
Banke,Bheri,Terai,Mid-Western,Grade 9-10 Boys,7235
Bara,Narayani,Terai,Central,Grade 9 Girls,4457
Bara,Narayani,Terai,Central,Grade 9 Boys,4341
Bara,Narayani,Terai,Central,Grade 10 Girls,3192
Bara,Narayani,Terai,Central,Grade 10 Boys,4021
Bara,Narayani,Terai,Central,Grade 9-10 Girls,7649
Bara,Narayani,Terai,Central,Grade 9-10 Boys,8362
Bardiya,Bheri,Terai,Mid-Western,Grade 9 Girls,5247
Bardiya,Bheri,Terai,Mid-Western,Grade 9 Boys,4752
Bardiya,Bheri,Terai,Mid-Western,Grade 10 Girls,2688
Bardiya,Bheri,Terai,Mid-Western,Grade 10 Boys,2788
Bardiya,Bheri,Terai,Mid-Western,Grade 9-10 Girls,7935
Bardiya,Bheri,Terai,Mid-Western,Grade 9-10 Boys,7540
Bhaktapur,Bagmati,Hill,Central,Grade 9 Girls,2928
Bhaktapur,Bagmati,Hill,Central,Grade 9 Boys,3145
Bhaktapur,Bagmati,Hill,Central,Grade 10 Girls,2792
Bhaktapur,Bagmati,Hill,Central,Grade 10 Boys,3322
Bhaktapur,Bagmati,Hill,Central,Grade 9-10 Girls,5720
Bhaktapur,Bagmati,Hill,Central,Grade 9-10 Boys,6467
Bhojpur,Kosi,Hill,Eastern,Grade 9 Girls,2069
Bhojpur,Kosi,Hill,Eastern,Grade 9 Boys,1758
Bhojpur,Kosi,Hill,Eastern,Grade 10 Girls,1696
Bhojpur,Kosi,Hill,Eastern,Grade 10 Boys,1564
Bhojpur,Kosi,Hill,Eastern,Grade 9-10 Girls,3765
Bhojpur,Kosi,Hill,Eastern,Grade 9-10 Boys,3322
Chitawan,Narayani,Terai,Central,Grade 9 Girls,6517
Chitawan,Narayani,Terai,Central,Grade 9 Boys,6135
Chitawan,Narayani,Terai,Central,Grade 10 Girls,5490
Chitawan,Narayani,Terai,Central,Grade 10 Boys,5058
Chitawan,Narayani,Terai,Central,Grade 9-10 Girls,12007
Chitawan,Narayani,Terai,Central,Grade 9-10 Boys,11193
Dadeldhura,Mahakali,Hill,Far-Western,Grade 9 Girls,1561
Dadeldhura,Mahakali,Hill,Far-Western,Grade 9 Boys,1585
Dadeldhura,Mahakali,Hill,Far-Western,Grade 10 Girls,959
Dadeldhura,Mahakali,Hill,Far-Western,Grade 10 Boys,1048
Dadeldhura,Mahakali,Hill,Far-Western,Grade 9-10 Girls,2520
Dadeldhura,Mahakali,Hill,Far-Western,Grade 9-10 Boys,2633
Dailekh,Bheri,Hill,Mid-Western,Grade 9 Girls,3356
Dailekh,Bheri,Hill,Mid-Western,Grade 9 Boys,3331
Dailekh,Bheri,Hill,Mid-Western,Grade 10 Girls,2623
Dailekh,Bheri,Hill,Mid-Western,Grade 10 Boys,2868
Dailekh,Bheri,Hill,Mid-Western,Grade 9-10 Girls,5979
Dailekh,Bheri,Hill,Mid-Western,Grade 9-10 Boys,6199
Dang,Rapti,Terai,Mid-Western,Grade 9 Girls,5674
Dang,Rapti,Terai,Mid-Western,Grade 9 Boys,4856
Dang,Rapti,Terai,Mid-Western,Grade 10 Girls,4938
Dang,Rapti,Terai,Mid-Western,Grade 10 Boys,4223
Dang,Rapti,Terai,Mid-Western,Grade 9-10 Girls,10612
Dang,Rapti,Terai,Mid-Western,Grade 9-10 Boys,9079
Darchaula,Mahakali,Mountain,Far-Western,Grade 9 Girls,1228
Darchaula,Mahakali,Mountain,Far-Western,Grade 9 Boys,1436
Darchaula,Mahakali,Mountain,Far-Western,Grade 10 Girls,1122
Darchaula,Mahakali,Mountain,Far-Western,Grade 10 Boys,1270
Darchaula,Mahakali,Mountain,Far-Western,Grade 9-10 Girls,2350
Darchaula,Mahakali,Mountain,Far-Western,Grade 9-10 Boys,2706
Dhading,Bagmati,Hill,Central,Grade 9 Girls,3831
Dhading,Bagmati,Hill,Central,Grade 9 Boys,3249
Dhading,Bagmati,Hill,Central,Grade 10 Girls,2957
Dhading,Bagmati,Hill,Central,Grade 10 Boys,2620
Dhading,Bagmati,Hill,Central,Grade 9-10 Girls,6788
Dhading,Bagmati,Hill,Central,Grade 9-10 Boys,5869
Dhankuta,Kosi,Hill,Eastern,Grade 9 Girls,2031
Dhankuta,Kosi,Hill,Eastern,Grade 9 Boys,1714
Dhankuta,Kosi,Hill,Eastern,Grade 10 Girls,1619
Dhankuta,Kosi,Hill,Eastern,Grade 10 Boys,1409
Dhankuta,Kosi,Hill,Eastern,Grade 9-10 Girls,3650
Dhankuta,Kosi,Hill,Eastern,Grade 9-10 Boys,3123
Dhanusa,Janakpur,Terai,Central,Grade 9 Girls,3894
Dhanusa,Janakpur,Terai,Central,Grade 9 Boys,4613
Dhanusa,Janakpur,Terai,Central,Grade 10 Girls,3050
Dhanusa,Janakpur,Terai,Central,Grade 10 Boys,3784
Dhanusa,Janakpur,Terai,Central,Grade 9-10 Girls,6944
Dhanusa,Janakpur,Terai,Central,Grade 9-10 Boys,8397
Dolakha,Janakpur,Mountain,Central,Grade 9 Girls,2333
Dolakha,Janakpur,Mountain,Central,Grade 9 Boys,2150
Dolakha,Janakpur,Mountain,Central,Grade 10 Girls,1951
Dolakha,Janakpur,Mountain,Central,Grade 10 Boys,1795
Dolakha,Janakpur,Mountain,Central,Grade 9-10 Girls,4284
Dolakha,Janakpur,Mountain,Central,Grade 9-10 Boys,3945
Dolpa,Karnali,Mountain,Mid-Western,Grade 9 Girls,192
Dolpa,Karnali,Mountain,Mid-Western,Grade 9 Boys,318
Dolpa,Karnali,Mountain,Mid-Western,Grade 10 Girls,167
Dolpa,Karnali,Mountain,Mid-Western,Grade 10 Boys,238
Dolpa,Karnali,Mountain,Mid-Western,Grade 9-10 Girls,359
Dolpa,Karnali,Mountain,Mid-Western,Grade 9-10 Boys,556
Doti,Seti,Hill,Far-Western,Grade 9 Girls,1323
Doti,Seti,Hill,Far-Western,Grade 9 Boys,1857
