District ,Zone,Geographical Region,Development Region,Level,Number of Student 
Achham,Seti,Hill,Far-Western,Grade (1-5),67118
Achham,Seti,Hill,Far-Western,Grade(6-8),21889
Achham,Seti,Hill,Far-Western,Grade (9-10),10947
Achham,Seti,Hill,Far-Western,Grade(11-12),3535
Arghakhanchi,Lumbini,Hill,Western,Grade (1-5),37487
Arghakhanchi,Lumbini,Hill,Western,Grade(6-8),16580
Arghakhanchi,Lumbini,Hill,Western,Grade (9-10),7366
Arghakhanchi,Lumbini,Hill,Western,Grade(11-12),2571
Baglung,Dhawalagiri,Hill,Western,Grade (1-5),52588
Baglung,Dhawalagiri,Hill,Western,Grade(6-8),22658
Baglung,Dhawalagiri,Hill,Western,Grade (9-10),11389
Baglung,Dhawalagiri,Hill,Western,Grade(11-12),6970
Baitadi,Mahakali,Hill,Far-Western,Grade (1-5),60267
Baitadi,Mahakali,Hill,Far-Western,Grade(6-8),21869
Baitadi,Mahakali,Hill,Far-Western,Grade (9-10),10270
Baitadi,Mahakali,Hill,Far-Western,Grade(11-12),5096
Bajhang,Seti,Mountain,Far-Western,Grade (1-5),53371
Bajhang,Seti,Mountain,Far-Western,Grade(6-8),15933
Bajhang,Seti,Mountain,Far-Western,Grade (9-10),6759
Bajhang,Seti,Mountain,Far-Western,Grade(11-12),2974
Bajura,Seti,Mountain,Far-Western,Grade (1-5),34467
Bajura,Seti,Mountain,Far-Western,Grade(6-8),12120
Bajura,Seti,Mountain,Far-Western,Grade (9-10),4945
Bajura,Seti,Mountain,Far-Western,Grade(11-12),2292
Banke,Bheri,Terai,Mid-Western,Grade (1-5),91487
Banke,Bheri,Terai,Mid-Western,Grade(6-8),31067
Banke,Bheri,Terai,Mid-Western,Grade (9-10),14155
Banke,Bheri,Terai,Mid-Western,Grade(11-12),6723
Bara,Narayani,Terai,Central,Grade (1-5),164065
Bara,Narayani,Terai,Central,Grade(6-8),35071
Bara,Narayani,Terai,Central,Grade (9-10),16011
Bara,Narayani,Terai,Central,Grade(11-12),4086
Bardiya,Bheri,Terai,Mid-Western,Grade (1-5),67768
Bardiya,Bheri,Terai,Mid-Western,Grade(6-8),38632
Bardiya,Bheri,Terai,Mid-Western,Grade (9-10),15475
Bardiya,Bheri,Terai,Mid-Western,Grade(11-12),6808
Bhaktapur,Bagmati,Hill,Central,Grade (1-5),31804
Bhaktapur,Bagmati,Hill,Central,Grade(6-8),18416
Bhaktapur,Bagmati,Hill,Central,Grade (9-10),12187
