District Name,Zone,Geographical Region,Development Region,Grade,Number
Achham,Seti,Hill,Far-Western,1,5
Achham,Seti,Hill,Far-Western,(1-2),28
Achham,Seti,Hill,Far-Western,(1-3),61
Achham,Seti,Hill,Far-Western,(1-4),51
Achham,Seti,Hill,Far-Western,(1-5),169
Achham,Seti,Hill,Far-Western,(1-6),3
Achham,Seti,Hill,Far-Western,(1-7),29
Achham,Seti,Hill,Far-Western,(1-8),47
Achham,Seti,Hill,Far-Western,(1-9),1
Achham,Seti,Hill,Far-Western,(1-10),61
Achham,Seti,Hill,Far-Western,(1-11),3
Achham,Seti,Hill,Far-Western,(1-12),29
Achham,Seti,Hill,Far-Western,(6-7),0
Achham,Seti,Hill,Far-Western,(6-8),1
Achham,Seti,Hill,Far-Western,(6-9),0
Achham,Seti,Hill,Far-Western,(6-10),0
Achham,Seti,Hill,Far-Western,(6-11),0
Achham,Seti,Hill,Far-Western,(6-12),0
Achham,Seti,Hill,Far-Western,(9-10),0
Achham,Seti,Hill,Far-Western,(9-11),0
Achham,Seti,Hill,Far-Western,(9-12),0
Achham,Seti,Hill,Far-Western,(11-12),0
Arghakhanchi,Lumbini,Hill,Western,1,8
Arghakhanchi,Lumbini,Hill,Western,(1-2),13
Arghakhanchi,Lumbini,Hill,Western,(1-3),121
Arghakhanchi,Lumbini,Hill,Western,(1-4),6
Arghakhanchi,Lumbini,Hill,Western,(1-5),145
Arghakhanchi,Lumbini,Hill,Western,(1-6),0
Arghakhanchi,Lumbini,Hill,Western,(1-7),6
Arghakhanchi,Lumbini,Hill,Western,(1-8),44
Arghakhanchi,Lumbini,Hill,Western,(1-9),0
Arghakhanchi,Lumbini,Hill,Western,(1-10),38
Arghakhanchi,Lumbini,Hill,Western,(1-11),2
Arghakhanchi,Lumbini,Hill,Western,(1-12),23
Arghakhanchi,Lumbini,Hill,Western,(6-7),0
Arghakhanchi,Lumbini,Hill,Western,(6-8),0
Arghakhanchi,Lumbini,Hill,Western,(6-9),0
Arghakhanchi,Lumbini,Hill,Western,(6-10),0
Arghakhanchi,Lumbini,Hill,Western,(6-11),0
Arghakhanchi,Lumbini,Hill,Western,(6-12),6
Arghakhanchi,Lumbini,Hill,Western,(9-10),0
Arghakhanchi,Lumbini,Hill,Western,(9-11),0
Arghakhanchi,Lumbini,Hill,Western,(9-12),0
Arghakhanchi,Lumbini,Hill,Western,(11-12),0
Baglung,Dhawalagiri,Hill,Western,1,3
Baglung,Dhawalagiri,Hill,Western,(1-2),14
Baglung,Dhawalagiri,Hill,Western,(1-3),121
Baglung,Dhawalagiri,Hill,Western,(1-4),16
Baglung,Dhawalagiri,Hill,Western,(1-5),192
Baglung,Dhawalagiri,Hill,Western,(1-6),3
Baglung,Dhawalagiri,Hill,Western,(1-7),14
Baglung,Dhawalagiri,Hill,Western,(1-8),54
Baglung,Dhawalagiri,Hill,Western,(1-9),3
Baglung,Dhawalagiri,Hill,Western,(1-10),51
Baglung,Dhawalagiri,Hill,Western,(1-11),5
Baglung,Dhawalagiri,Hill,Western,(1-12),47
Baglung,Dhawalagiri,Hill,Western,(6-7),0
Baglung,Dhawalagiri,Hill,Western,(6-8),2
Baglung,Dhawalagiri,Hill,Western,(6-9),0
Baglung,Dhawalagiri,Hill,Western,(6-10),1
Baglung,Dhawalagiri,Hill,Western,(6-11),0
Baglung,Dhawalagiri,Hill,Western,(6-12),2
Baglung,Dhawalagiri,Hill,Western,(9-10),0
Baglung,Dhawalagiri,Hill,Western,(9-11),0
Baglung,Dhawalagiri,Hill,Western,(9-12),0
Baglung,Dhawalagiri,Hill,Western,(11-12),0
Baitadi,Mahakali,Hill,Far-Western,1,2
Baitadi,Mahakali,Hill,Far-Western,(1-2),8
Baitadi,Mahakali,Hill,Far-Western,(1-3),100
Baitadi,Mahakali,Hill,Far-Western,(1-4),15
Baitadi,Mahakali,Hill,Far-Western,(1-5),200
Baitadi,Mahakali,Hill,Far-Western,(1-6),5
Baitadi,Mahakali,Hill,Far-Western,(1-7),8
Baitadi,Mahakali,Hill,Far-Western,(1-8),92
Baitadi,Mahakali,Hill,Far-Western,(1-9),3
Baitadi,Mahakali,Hill,Far-Western,(1-10),56
Baitadi,Mahakali,Hill,Far-Western,(1-11),5
Baitadi,Mahakali,Hill,Far-Western,(1-12),44
Baitadi,Mahakali,Hill,Far-Western,(6-7),0
Baitadi,Mahakali,Hill,Far-Western,(6-8),0
Baitadi,Mahakali,Hill,Far-Western,(6-9),0
Baitadi,Mahakali,Hill,Far-Western,(6-10),1
Baitadi,Mahakali,Hill,Far-Western,(6-11),0
Baitadi,Mahakali,Hill,Far-Western,(6-12),1
Baitadi,Mahakali,Hill,Far-Western,(9-10),0
Baitadi,Mahakali,Hill,Far-Western,(9-11),0
Baitadi,Mahakali,Hill,Far-Western,(9-12),0
Baitadi,Mahakali,Hill,Far-Western,(11-12),0
Bajhang,Seti,Mountain,Far-Western,1,6
Bajhang,Seti,Mountain,Far-Western,(1-2),11
Bajhang,Seti,Mountain,Far-Western,(1-3),97
Bajhang,Seti,Mountain,Far-Western,(1-4),29
Bajhang,Seti,Mountain,Far-Western,(1-5),146
Bajhang,Seti,Mountain,Far-Western,(1-6),1
Bajhang,Seti,Mountain,Far-Western,(1-7),10
Bajhang,Seti,Mountain,Far-Western,(1-8),67
Bajhang,Seti,Mountain,Far-Western,(1-9),2
Bajhang,Seti,Mountain,Far-Western,(1-10),37
Bajhang,Seti,Mountain,Far-Western,(1-11),5
Bajhang,Seti,Mountain,Far-Western,(1-12),31
Bajhang,Seti,Mountain,Far-Western,(6-7),0
Bajhang,Seti,Mountain,Far-Western,(6-8),0
Bajhang,Seti,Mountain,Far-Western,(6-9),0
Bajhang,Seti,Mountain,Far-Western,(6-10),0
Bajhang,Seti,Mountain,Far-Western,(6-11),0
Bajhang,Seti,Mountain,Far-Western,(6-12),3
Bajhang,Seti,Mountain,Far-Western,(9-10),0
Bajhang,Seti,Mountain,Far-Western,(9-11),0
Bajhang,Seti,Mountain,Far-Western,(9-12),0
Bajhang,Seti,Mountain,Far-Western,(11-12),0
Bajura,Seti,Mountain,Far-Western,1,3
Bajura,Seti,Mountain,Far-Western,(1-2),8
Bajura,Seti,Mountain,Far-Western,(1-3),41
Bajura,Seti,Mountain,Far-Western,(1-4),10
