District Name,Zone,Geographical Region,Development Region,Grade,Number of School
Achham,Seti,Hill,Far-Western,1.0,0.0
Achham,Seti,Hill,Far-Western,(1-2),1.0
Achham,Seti,Hill,Far-Western,(1-3),1.0
Achham,Seti,Hill,Far-Western,(1-4),2.0
Achham,Seti,Hill,Far-Western,(1-5),5.0
Achham,Seti,Hill,Far-Western,(1-6),0.0
Achham,Seti,Hill,Far-Western,(1-7),1.0
Achham,Seti,Hill,Far-Western,(1-8),3.0
Achham,Seti,Hill,Far-Western,(1-9),0.0
Achham,Seti,Hill,Far-Western,(1-10),0.0
Achham,Seti,Hill,Far-Western,(1-11),0.0
Achham,Seti,Hill,Far-Western,(1-12),0.0
Achham,Seti,Hill,Far-Western,(6-7),0.0
Achham,Seti,Hill,Far-Western,(6-8),0.0
Achham,Seti,Hill,Far-Western,(6-9),0.0
Achham,Seti,Hill,Far-Western,(6-10),0.0
Achham,Seti,Hill,Far-Western,(6-11),0.0
Achham,Seti,Hill,Far-Western,(6-12),0.0
Achham,Seti,Hill,Far-Western,(9-10),0.0
Achham,Seti,Hill,Far-Western,(9-11),0.0
Achham,Seti,Hill,Far-Western,(9-12),0.0
Achham,Seti,Hill,Far-Western,(11-12),1.0
Arghakhanchi,Lumbini,Hill,Western,1.0,0.0
Arghakhanchi,Lumbini,Hill,Western,(1-2),1.0
Arghakhanchi,Lumbini,Hill,Western,(1-3),1.0
Arghakhanchi,Lumbini,Hill,Western,(1-4),4.0
Arghakhanchi,Lumbini,Hill,Western,(1-5),20.0
Arghakhanchi,Lumbini,Hill,Western,(1-6),0.0
Arghakhanchi,Lumbini,Hill,Western,(1-7),0.0
Arghakhanchi,Lumbini,Hill,Western,(1-8),0.0
Arghakhanchi,Lumbini,Hill,Western,(1-9),1.0
Arghakhanchi,Lumbini,Hill,Western,(1-10),9.0
Arghakhanchi,Lumbini,Hill,Western,(1-11),0.0
Arghakhanchi,Lumbini,Hill,Western,(1-12),1.0
Arghakhanchi,Lumbini,Hill,Western,(6-7),0.0
Arghakhanchi,Lumbini,Hill,Western,(6-8),0.0
Arghakhanchi,Lumbini,Hill,Western,(6-9),0.0
Arghakhanchi,Lumbini,Hill,Western,(6-10),0.0
Arghakhanchi,Lumbini,Hill,Western,(6-11),0.0
Arghakhanchi,Lumbini,Hill,Western,(6-12),0.0
Arghakhanchi,Lumbini,Hill,Western,(9-10),0.0
Arghakhanchi,Lumbini,Hill,Western,(9-11),0.0
Arghakhanchi,Lumbini,Hill,Western,(9-12),0.0
Arghakhanchi,Lumbini,Hill,Western,(11-12),2.0
Baglung,Dhawalagiri,Hill,Western,1.0,0.0
Baglung,Dhawalagiri,Hill,Western,(1-2),0.0
Baglung,Dhawalagiri,Hill,Western,(1-3),6.0
Baglung,Dhawalagiri,Hill,Western,(1-4),1.0
Baglung,Dhawalagiri,Hill,Western,(1-5),12.0
Baglung,Dhawalagiri,Hill,Western,(1-6),8.0
Baglung,Dhawalagiri,Hill,Western,(1-7),7.0
