District Name,Zone,Geographical Region,Development Region, Grade,Number of School 
Taplejung,Mechi,Mountain,Eastern,1,3
Taplejung,Mechi,Mountain,Eastern,(1-2),5
Taplejung,Mechi,Mountain,Eastern,(1-3),58
Taplejung,Mechi,Mountain,Eastern,(1-4),10
Taplejung,Mechi,Mountain,Eastern,(1-5),138
Taplejung,Mechi,Mountain,Eastern,(1-6),2
Taplejung,Mechi,Mountain,Eastern,(1-7),13
Taplejung,Mechi,Mountain,Eastern,(1-8),53
Taplejung,Mechi,Mountain,Eastern,(1-9),2
Taplejung,Mechi,Mountain,Eastern,(1-10),25
Taplejung,Mechi,Mountain,Eastern,(1-11),0
Taplejung,Mechi,Mountain,Eastern,(1-12),29
Taplejung,Mechi,Mountain,Eastern,(6-7),0
Taplejung,Mechi,Mountain,Eastern,(6-8),0
Taplejung,Mechi,Mountain,Eastern,(6-9),0
Taplejung,Mechi,Mountain,Eastern,(6-10),0
Taplejung,Mechi,Mountain,Eastern,(6-11),0
Taplejung,Mechi,Mountain,Eastern,(6-12),0
Taplejung,Mechi,Mountain,Eastern,(9-10),0
Taplejung,Mechi,Mountain,Eastern,(9-11),0
Taplejung,Mechi,Mountain,Eastern,(9-12),0
Taplejung,Mechi,Mountain,Eastern,(11-12),1
Sankhuwasabha,Kosi,Mountain,Eastern,1,7
Sankhuwasabha,Kosi,Mountain,Eastern,(1-2),13
Sankhuwasabha,Kosi,Mountain,Eastern,(1-3),76
Sankhuwasabha,Kosi,Mountain,Eastern,(1-4),12
Sankhuwasabha,Kosi,Mountain,Eastern,(1-5),175
Sankhuwasabha,Kosi,Mountain,Eastern,(1-6),6
Sankhuwasabha,Kosi,Mountain,Eastern,(1-7),9
Sankhuwasabha,Kosi,Mountain,Eastern,(1-8),54
Sankhuwasabha,Kosi,Mountain,Eastern,(1-9),3
Sankhuwasabha,Kosi,Mountain,Eastern,(1-10),41
Sankhuwasabha,Kosi,Mountain,Eastern,(1-11),1
Sankhuwasabha,Kosi,Mountain,Eastern,(1-12),18
Sankhuwasabha,Kosi,Mountain,Eastern,(6-7),0
