title,source,csv file,git hub csv file,pdf link,pdf name,year
Enrollment of students from primary to higher secondary level in Dailekh 2064-69,"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/file.csv&nid=4403,"https://github.com/opennepal/odp-education/tree/master/Enrollment of students from primary to higher secondary level, in Dailekh, 2064-69/data.csv",,,2064-2069
Literacy rate status by age group 15 - 24 (2013),UNESCO Kathmandu,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Literacy rate status by age group 15 - 24.csv&nid=3308,https://github.com/opennepal/odp-education/tree/master/Literacy rate status by age group 15 - 24 (2013)/data.csv,http://unesdoc.unesco.org/images/0022/002276/227685e.pdf,227685e.pdf,
Number of Students Enrolled in Grade 1 to 5 (2012-13),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of Students Enrolled in Grade 1 to 5.csv&nid=3088,https://github.com/opennepal/odp-education/tree/master/Number of Students Enrolled in Grade 1 to 5 (2012-13)/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Higher Secondary Level Girls and Boys Enrolment (2012-13),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Higher secondary girls and boys enrolment..csv&nid=3010,https://github.com/opennepal/odp-education/tree/master/Higher Secondary Level Girls and Boys Enrolment (2012-13)/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Lower Secondary Girls and Boys Enrolment Number (2012-13),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Lower secondary Girls and boys enrollment.csv&nid=2935,https://github.com/opennepal/odp-education/tree/master/Lower Secondary Girls and Boys Enrolment Number (2012-13)/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Secondary level Girls and Boys Enrolment Number (2012-13),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/secondary level girls and boys enrolment number.csv&nid=2788,https://github.com/opennepal/odp-education/tree/master/Secondary level Girls and Boys Enrolment Number (2012-13)/data.csv,,,
Primary Level Girls and Boys Enrolment (2012-2013),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Primary Level Girls and Boys Enrolment (2012-2013).csv&nid=2710,https://github.com/opennepal/odp-education/tree/master/Primary Level Girls and Boys Enrolment (2012-2013)/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Education Level wise Net Enrolment Rate (2012-13),"Government of Nepal, Department of Education",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/level wise education net enrollment rate.csv&nid=2631,https://github.com/opennepal/odp-education/tree/master/Education Level wise Net Enrolment Rate (2012-13)/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Total number of schools by grade 2012-13,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/school-by-grade-csv .csv&nid=2368,https://github.com/opennepal/odp-education/tree/master/Total number of schools by grade 2012-13/data.csv,http://www.doe.gov.np/files/Files/Final_Flash Report I 2069_V Print_1373799566.pdf,Final_Flash Report I 2069_V Print_1373799566.pdf,
Total number of institutional schools by grade 2012-2013,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Instiutional-school-by-grade-xlsx.csv&nid=2293,https://github.com/opennepal/odp-education/tree/master/Total number of institutional schools by grade 2012-2013/data.csv,,,
